vpid,artist
b00y9srj,"Huey ""Piano"" Smith"
b00y9srj,Aaron Neville
b00y9srj,Allen Toussaint
b00y9srj,Crystal Castles
b00y9srj,Dr. John
b00y9srj,Fats Domino
b00y9srj,Irma Thomas
b00y9srj,Jessie Hill
b00y9srj,Lee Dorsey
b00y9srj,Little Richard
b00y9srj,Lloyd Price
b00y9srj,Maria Muldaur
b00y9srj,Pale Saints
b00y9srj,Professor Longhair
b00y9srj,Sir Cliff Richard
b00y9srj,The Icicle Works
b00y9srj,The Neville Brothers
b00y9srj,The Northern Dance Orchestra
b00y9srj,Wilson Pickett
b00y9srj,XTC
b00yb329,Aretha Franklin
b00yb329,Booker T. & The MG’s
b00yb329,CARLA & RUFUS THOMAS
b00yb329,Don Covay
b00yb329,Eddie Floyd
b00yb329,King Curtis
b00yb329,Otis Redding
b00yb329,Percy Sledge
b00yb329,Richard Ashcroft
b00yb329,Sam & Dave
b00yb329,THE MAR-KEYS
b00yb329,The Bar‐Kays
b00yb329,The Clash
b00yb329,Visage
b00yb329,WILSON PICKETT
b00yb329,William Bell
b00yb329,Wilson Pickett
b00yb329,XTC
b0198fjn,Bing Crosby & David Bowie
b0198fjn,David Bowie
b0198fjn,Michael Kiwanuka
b0198fjn,Queen & Adam Lambert
b0198fjn,Queen & David Bowie
b0198fjn,St. Vincent
b0198fjn,The Fall
b0198fjn,Toots & The Maytals
b0198j4z,David Bowie & Mick Jagger
b0198j4z,David Bowie
b0198j4z,Depeche Mode
b0198j4z,Pixies
b0198j4z,Tin Machine
b01hllxj,"George Hopkinson, Graeme Bell, Humphrey Lyttelton, John Sangster & Wally Fawkes"
b01hllxj,"MILLER, GLENN & THE ARMY AIR FORCE BAND"
b01hllxj,Electronic
b01hllxj,George Melly & The Feetwarmers
b01hllxj,George Webb's Dixielanders
b01hllxj,Humphrey Lyttelton
b01hllxj,Ken 'Snakehips' Johnson & His West Indian Dance Band
b01hllxj,Ken Colyer
b01hllxj,Kenny Ball & His Jazzmen
b01hllxj,Neil Young
b01hllxj,Vic Lewis And Jack Parnell's Jazzmen
b01hllxj,Victor Feldman
b01hllxj,XTC
b01hmwc4,Acker Bilk
b01hmwc4,Big Bill Broonzy
b01hmwc4,Chris Barber’s Jazz Band
b01hmwc4,Humphrey Lyttelton
b01hmwc4,Kenny Ball & His Jazzmen
b01hmwc4,Muddy Waters
b01hmwc4,Steely Dan
b01hmwc4,The Animals
b01hmwc4,The Knife
b01hmwc4,The S.O.S. Band
b01hmwcn,Arthur “Big Boy” Crudup
b01hmwcn,British Sea Power
b01hmwcn,Dexys Midnight Runners
b01hmwcn,Dudu Pukwana & Spear
b01hmwcn,Hugh Masekela
b01hmwcn,Led Zeppelin
b01hmwcn,Sex Pistols
b01hmwcn,Sid Vicious
b01hmwcn,The Kinks
b01hmy9y,"GELATO'S, RAY GIANTS"
b01hmy9y,B.B. King
b01hmy9y,Ben E. King
b01hmy9y,Bonobo
b01hmy9y,Buck 65
b01hmy9y,Leonard Cohen
b01hmy9y,Oasis
b01hmy9y,Sleater‐Kinney
b01hmy9y,The Drifters
b01hmy9y,The White Stripes
b01r7955,"DEE, JOEY & THE STARLITERS"
b01r7955,Dean Parrish
b01r7955,Dobie Gray
b01r7955,Jimi Hendrix
b01r7955,Jimmy Radcliffe
b01r7955,MGMT
b01r7955,The Passions
b01r7955,Tobi Legend
b01r79w0,Alabama 3
b01r79w0,Bob Marley
b01r79w0,Dean Parrish
b01r79w0,Lord LARGE E
b01r79w0,Musique
b01rp4vw,Anthony Newley
b01rp4vw,David Bowie
b01rp4vw,Davie Jones & The King Bees
b01rp4vw,Little Richard
b01rp4vw,Ohio Players
b01rp4vw,Ronnie Ross
b01rp4vw,T. Rex
b01rp4vw,The Flares
b01rp4vw,The Velvet Underground
b01rp4vw,Wendy Carlos
b01rp5d1,David Bowie
b01rp5d1,Iggy Pop
b01rp5d1,Spandau Ballet
b04crtt8,"MORRISON, VAN AND JOHN LEE HOOKER"
b04crtt8,Canned Heat & John Lee Hooker
b04crtt8,China Crisis
b04crtt8,John Lee Hooker & Robert Cray
b04crtt8,John Lee Hooker
b04crtt8,St. Germain
b04crtt8,Swervedriver
b04crtt8,The Animals
b04crtt8,The Sugarcubes
b04crtt8,Weezer
b04crwtq,Depeche Mode
b04crwtq,Supergrass
b04crwtq,Talking Heads
b04crwtq,Todd Terje
b04crwtq,White Denim
b04cs5bj,Desmond Dekker
b04cs5bj,Madness
b04cs5bj,Squeeze
b04cs5bj,Steve Harley & Cockney Rebel
b04cs5bj,The Brothers Johnson
b04dcrdm,Bassheads
b04dcrdm,Garbage
b04dcrdm,Split Enz
b04dcrdm,The Clash
